airID,airline,airlinealias,IATA,ICAO,callsign,country,active
161,Aeronaves Del Centro,\N,NA,AGA,NA,Venezuela,N
162,Air Service Gabon,\N,G8,AGB,NA,Gabon,N
163,Arab Agricultural Aviation Company,\N,NA,AGC,AGRICO,Egypt,N
164,Atlantic Gulf Airlines,\N,NA,AGF,ATLANTIC GULF,United States,N
165,Aerolitoral,\N,5D,SLI,COSTERA,Mexico,Y
166,Algoma Airways,\N,NA,AGG,ALGOMA,Canada,N
167,Altagna,\N,NA,AGH,ALTAGNA,France,N
168,Angola Air Charter,\N,NA,AGO,ANGOLA CHARTER,Angola,N
169,Angola Air Charter,\N,NA,AGO,ANGOLA CHARTER,Angola,N
170,AERFI Group,\N,NA,AGP,AIR TARA,Ireland,N
171,Aerogala,\N,NA,AGQ,GALASERVICE,Chile,N
172,Amadeus Global Travel Distribution,\N,1A,AGT,AMADEUS,Spain,N
173,Angara Airlines,\N,NA,AGU,SARMA,Russia,N
174,Air Glaciers,\N,7T,AGV,AIR GLACIERS,Switzerland,Y
175,Aero Gambia,\N,NA,AGW,AERO GAMBIA,Gambia,N
176,Aviogenex,\N,NA,AGX,GENEX,Serbia,Y
177,Atlantic Coast Airlines,\N,NA,BLR,BLUE RIDGE,United States,N
178,Aero Barloz,\N,NA,BLZ,AEROLOZ,Mexico,N
179,Aeroper,\N,PL,PLI,Aeroperu,Peru,Y
180,Atlas Blue,\N,8A,BMM,ATLAS BLUE,Morocco,Y
181,Aero Banobras,\N,NA,BNB,AEROBANOBRAS,Mexico,N
182,Aero Flight Service,\N,NA,AGY,FLIGHT GROUP,United States,N
183,Agrolet-Mci,\N,NA,AGZ,AGROLET,Slovakia,N
184,Air Alpha Greenland,\N,GD,AHA,AIR ALPHA,Denmark,N
185,Azal Avia Cargo,\N,NA,AHC,AZALAVIACARGO,Azerbaijan,N
186,Airport Helicopter Basel,\N,NA,AHE,Muller & Co.,AIRPORT HELICOPTER,N
187,Aeroservices Corporate,\N,NA,CJE,BIRD JET,France,N
188,Aspen Helicopters,\N,NA,AHF,ASPEN,United States,N
189,Aerochago Airlines,\N,NA,AHG,AEROCHAGO,Dominican Republic,N
190,Airplanes Holdings,\N,NA,AHH,AIRHOLD,Ireland,N
191,Air Hong Kong,\N,LD,AHK,AIR HONG KONG,Hong Kong,N
192,Aerochiapas,\N,NA,AHP,AEROCHIAPAS,Mexico,N
193,Air Adriatic,\N,NA,AHR,ADRIATIC,Croatia,N
194,Air Viggi San Raffaele,\N,NA,AHS,AIRSAR,Italy,N
195,ABC Air Hungary,\N,NA,AHU,ABC HUNGARY,Hungary,N
196,Aeromist-Kharkiv,\N,HT,AHW,AEROMIST,Ukraine,N
197,Azerbaijan Airlines,\N,J2,AHY,AZAL,Azerbaijan,Y
198,Avies,\N,U3,AIA,AVIES,Estonia,Y
199,Airbus Industrie,\N,AP,AIB,AIRBUS INDUSTRIE,France,N
200,Alpine Air Chile,\N,NA,AIH,ALPINE CHILE,Chile,N
201,Air Integra,\N,NA,AII,INTEGRA,Canada,N
202,ABC Aerolineas,\N,NA,AIJ,ABC AEROLINEAS,Mexico,N
203,African Airlines International Limited,\N,NA,AIK,AFRICAN AIRLINES,Kenya,N
204,African International Airways,\N,NA,AIN,FLY CARGO,Swaziland,N
205,Alpine Air Express,\N,5A,AIP,ALPINE AIR,United States,N
206,Alicante Internacional Airlines,\N,NA,AIU,ALIA,Spain,N
207,Aba Air,\N,NA,ABP,BAIR,Czech Republic,N
208,Airblue,\N,ED,ABQ,PAKBLUE,Pakistan,Y
209,Airmark Aviation,\N,NA,THM,THAI AIRMARK,Thailand,N
210,Airlift International,\N,NA,AIR,AIRLIFT,United States,Y
211,Airest,\N,NA,AIT,NA,Estonia,N
212,Air Baffin,\N,NA,BFF,AIR BAFFIN,Canada,N
213,Air Bandama,\N,NA,BDM,BANDAMA,Ivory Coast,N
214,Air Berlin,\N,AB,BER,AIR BERLIN,Germany,Y
215,Air Brousse,\N,NA,ABT,AIR BROUSSE,Canada,N
216,Air Contractors,\N,AG,ABR,CONTRACT,Ireland,N
217,Air Illinois,\N,NA,AIL,AIR ILLINOIS,United States,N
218,Air India Limited,\N,AI,AIC,AIRINDIA,India,Y
219,Air Inter Gabon,\N,NA,AIG,NA,Gabon,N
220,Air Bourbon,\N,ZB,BUB,BOURBON,Reunion,Y
221,Air Atlanta Icelandic,\N,CC,ABD,ATLANTA,Iceland,Y
222,Air Inuit,\N,NA,AIE,AIR INUIT,Canada,N
223,Air Sureste,\N,NA,AIS,SURESTE,Spain,N
224,Air Srpska,\N,RB,SBK,Air Srpska,Bosnia and Herzegovina,N
225,Air Tahiti Nui,\N,TN,THT,TAHITI AIRLINES,France,Y
226,Airvias S/A Linhas Aereas,\N,NA,AIV,AIRVIAS,Brazil,N
227,Aero Services Executive,\N,W4,BES,BIRD EXPRESS,France,N
228,Atlantic Island Airways,\N,NA,AIW,TARTAN,Canada,N
229,Aircruising Australia,\N,NA,AIX,CRUISER,Australia,N
230,Aircrew Check and Training Australia,\N,NA,AIY,AIRCREW,Australia,N
231,Arkia Israel Airlines,\N,IZ,AIZ,ARKIA,Israel,Y
232,A J Services,\N,NA,AJA,AYJAY SERVICES,United Kingdom,N
233,Aero JBR,\N,NA,AJB,AERO JBR,Mexico,N
234,Aero Jet Express,\N,NA,AJE,JET EXPRESS,Mexico,N
235,Avia Consult Flugbetriebs,\N,NA,AJF,AVIACONSULT,Austria,N
236,Ameristar Jet Charter,\N,NA,AJI,AMERISTAR,United States,N
237,A2 Jet Leasing,\N,NA,AJJ,ATLANTIC JET,United States,N
238,Allied Air,\N,NA,AJK,BAMBI,Nigeria,N
239,Air Jamaica,\N,JM,AJM,JAMAICA,Jamaica,Y
240,Air One,\N,AP,ADH,HERON,Italy,Y
241,Air Sahara,\N,S2,RSH,SAHARA,India,Y
242,Air Malta,\N,KM,AMC,AIR MALTA,Malta,Y
243,Aeroejecutivo,\N,NA,AJO,AEROEXO,Mexico,N
244,Aero Jets Corporativos,\N,NA,AJP,AEROJETS,Mexico,N
245,Aeroejecutivos Colombia,\N,NA,AJS,AEROEJECUTIVOS,Colombia,N
246,Amerijet International,\N,M6,AJT,AMERIJET,United States,N
247,Air Jetsul,\N,NA,AJU,AIRJETSUL,Portugal,N
248,ANA & JP Express,\N,NA,AJV,AYJAY CARGO,Japan,N
249,Alpha Jet International,\N,NA,AJW,ALPHAJET,United States,N
250,Air Japan,\N,NQ,AJX,AIR JAPAN,Japan,Y
251,Ajet,\N,NA,AJY,AYJET,Cyprus,N
252,Air Korea Co. Ltd.,\N,NA,AKA,NA,Republic of Korea,Y
253,Air Livonia,\N,NA,LIV,LIVONIA,Estonia,N
254,Air BC,\N,NA,ABL,AIRCOACH,Canada,N
255,Air Fret Senegal,\N,NA,ABN,NA,Senegal,N
256,Air Jamahiriya Company,\N,NA,LJA,AIR JAMAHIRIYA,Libya,N
257,Aktjubavia,\N,NA,AKB,KARAB,Kazakhstan,N
258,Arca Aerovias Colombianas Ltda.,\N,NA,AKC,ARCA,Colombia,N
259,Anikay Air Company,\N,NA,AKF,ANIKAY,Kyrgyzstan,N
260,Akhal,\N,NA,AKH,AKHAL,Turkmenistan,N
261,Aeromilenio,\N,NA,MNI,AEROMIL,Mexico,N
262,Aklak Air,\N,NA,AKK,AKLAK,Canada,N
263,Air Kiribati,\N,4A,AKL,NA,Kiribati,Y
264,Alkan Air,\N,NA,AKN,ALKAN AIR,Canada,N
265,Angkor Airways,\N,NA,AKW,ANGKORWAYS,Cambodia,N
266,Air Nippon Network Co. Ltd.,\N,EH,AKX,ALFA WING,Japan,N
267,AK Navigator LLC,\N,NA,AKZ,ABSOLUTE,Kazakhstan,N
268,Aero Albatros,\N,NA,ALB,ALBATROS,Mexico,N
269,Albion Aviation,\N,NA,ALD,ALBION,United Kingdom,N
270,Aeroalas Colombia,\N,NA,ALE,AEROALAS,Colombia,N
271,Allied Command Europe (Mobile Force),\N,NA,ALF,ACEFORCE,Belgium,N
272,Aerotaxis Albatros,\N,NA,BTS,AEROLINEAS ALBATROS,Mexico,N
273,American Flyers,\N,NA,FYS,AMERICAN FLYERS,United States,N
274,Aero Coach Aviation,\N,NA,DFA,AERO COACH,United States,N
275,Atlantic Southeast Airlines,\N,NA,CAA,Chandler,United States,N
276,ACM Air Charter,\N,NA,BVR,BAVARIAN,Germany,N
277,Air Logistics,\N,NA,ALG,AIRLOG,United States,N
278,Aerovallarta,\N,NA,ALL,VALLARTA,Mexico,N
279,Air ALM,\N,NA,ALM,ANTILLEAN,Netherlands Antilles,N
280,Air Lincoln,\N,NA,ALN,CHICAGO LINCOLN,United States,N
281,America West Airlines,\N,HP,AWE,CACTUS,United States,Y
282,Air Wisconsin,\N,ZW,AWI,AIR WISCONSIN,United States,Y
283,Aerotransporte de Carga Union,\N,NA,TNO,AEROUNION,Mexico,N
284,Aero Taxis Cessna,\N,NA,TND,TAXIS CESSNA,Mexico,N
285,Arizona Express Airlines,\N,NA,TMP,TEMPE,United States,N
286,Tatarstan Airlines,\N,U9,TAK,TATARSTAN,Russia,Y
287,Allegheny Commuter Airlines,\N,NA,ALO,ALLEGHENY,United States,Y
288,Alpliner AG,\N,NA,ALP,ALPINER,Switzerland,N
289,Altair Aviation (1986),\N,NA,ALQ,ALTAIR,Canada,N
290,Air Luxor STP,\N,NA,ALU,LUXORJET,Sao Tome and Principe,N
291,Alas de Venezuela,\N,NA,ALV,ALVEN,Venezuela,N
292,Alas Nacionales,\N,NA,ALW,S.A.,ALNACIONAL,N
293,Alyeska Air Service,\N,NA,ALY,ALYESKA,United States,N
294,Alta Flights (Charters) Ltd.,\N,NA,ALZ,NA,Canada,N
295,Air Sunshine,\N,NA,RSI,AIR SUNSHINE,United States,Y
296,ATMA,\N,NA,AMA,ADIK,Kazakhstan,N
297,Aerolineas Medellin,\N,NA,AMD,AEROLINEAS MEDELLIN,Colombia,N
298,Ameriflight,\N,NA,AMF,AMFLIGHT,United States,N
299,Air Libert,\N,VD,NA,NA,France,Y
300,Air Lithuania,\N,TT,KLA,KAUNAS,Lithuania,N
301,Air Minas Linhas A,\N,NA,AMG,AIR MINAS,Brazil,N
302,Alan Mann Helicopters Ltd.,\N,NA,AMH,MANN,United Kingdom,N
303,Air Maldives,\N,NA,AMI,AIR MALDIVES,Maldives,N
304,Aviation Amos,\N,NA,AMJ,AVIATION AMOS,Canada,N
305,Amerer Air,\N,NA,AMK,AMER AIR,Austria,N
306,Air Malawi,\N,QM,AML,MALAWI,Malawi,Y
307,Aeroputul International Marculesti,\N,NA,AMM,AEROM,Moldova,N
308,Air Montenegro,\N,NA,AMN,MONTENEGRO,Montenegro,N
309,Air Montreal (Air Holdings Inc.),\N,NA,AMO,AIR MONTREAL,Canada,N
310,Aero Transporte S.A. (ATSA),\N,NA,AMP,ATSA,Peru,N
311,Aeromedicare Ltd.,\N,NA,AMQ,LIFELINE,United Kingdom,N
312,Air Sicilia,\N,BM,NA,NA,Italy,Y
313,Air Specialties Corporation,\N,NA,AMR,AIR AM,United States,N
314,Air Muskoka,\N,NA,AMS,AIR MUSKOKA,Canada,N
315,ATA Airlines,\N,NA,AMT,AMTRAN,United States,Y
316,Air Macau,\N,NX,AMU,AIR MACAO,Macao,Y
317,AMC Airlines,\N,NA,AMV,NA,Egypt,Y
318,Air Midwest,\N,ZV,AMW,AIR MIDWEST,United States,N
319,Air Seychelles,\N,HM,SEY,SEYCHELLES,Seychelles,Y
320,Air Sofia,\N,NA,SFB,AIR SOFIA,Bulgaria,N
321,AeroMéxico,\N,AM,AMX,AEROMEXICO,Mexico,Y
322,Air Ambar,\N,NA,AMY,AIR AMBAR,Dominican Republic,N
323,Amiya Airline,\N,NA,AMZ,AMIYA AIR,Nigeria,N
324,All Nippon Airways,ANA All Nippon Airways,NH,ANA,ALL NIPPON,Japan,Y
325,Air Navigation And Trading Co. Ltd.,\N,NA,ANB,AIR NAV,United Kingdom,N
326,Anglo Cargo,\N,NA,ANC,ANGLO,United Kingdom,N
327,Air Nostrum,\N,YW,ANE,AIR NOSTRUM,Spain,Y
328,Air Niugini,\N,PX,ANG,NUIGINI,Papua New Guinea,Y
329,Air Arabia,\N,G9,ABY,ARABIA,United Arab Emirates,Y
330,Air Canada,\N,AC,ACA,AIR CANADA,Canada,Y
331,Airport Bratsk,\N,NA,BRP,AEROBRA,Russia,N
332,Air Wings,\N,NA,BSB,ARBAS,Moldova,N
333,Air Baltic,\N,BT,BTI,AIRBALTIC,Latvia,Y
334,Alajnihah for Air Transport,\N,NA,ANH,ALAJNIHAH,Libya,N
335,Air Atlantic (Nig) Limited,\N,NA,ANI,NIGALANTIC,Nigeria,N
336,Air Nippon,\N,EL,ANK,ANK AIR,Japan,Y
337,Antares Airtransport,\N,NA,ANM,Maintenance & Service GmbH,ANTARES,N
338,Airnorth,\N,TL,ANO,TOPEND,Australia,Y
339,Aerol,\N,NA,ANQ,ANTIOQUIA,Colombia,N
340,Andes Lineas Aereas,\N,NA,ANS,AEROANDES,Argentina,N
341,Air North Charter - Canada,\N,4N,ANT,AIR NORTH,Canada,Y
342,Air Nevada,\N,NA,ANV,AIR NEVADA,United States,N
343,AOM French Airlines,\N,IW,AOM,French Lines,France,N
344,Aviacion Del Noroeste,\N,NA,ANW,S.A. de C.V.,AVINOR,N
345,Air New Zealand,\N,NZ,ANZ,NEW ZEALAND,New Zealand,Y
346,Avia Jaynar,\N,NA,SAP,TOBOL,Kazakhstan,N
347,Aero Servicios Empresariales,\N,NA,EMS,SERVIEMPRESARIAL,Mexico,N
348,Alcon Servicios Aereos,\N,NA,AOA,S.A. de C.V.,ALCON,N
349,AVCOM,\N,J6,AOC,AERO AVCOM,Russia,N
350,Aero Vodochody,\N,NA,AOD,AERO CZECH,Czech Republic,N
351,Air One Executive,\N,NA,AOE,NA,Italy,N
352,Atair Pty Ltd.,\N,NA,AOF,ATAIR,South Africa,N
353,Aero VIP,\N,2D,AOG,AVIP,Argentina,N
354,Aeromundo Ejecutivo,\N,NA,MUN,AEROMUNDO,Mexico,N
355,Aerolinea Muri,\N,NA,MUR,MURI,Mexico,N
356,Astoria,\N,NA,AOI,Inc.,ASTORIA,N
357,Aero Rent JSC,\N,NA,NRO,AEROMASTER,Russia,N
358,Aeronord-Grup,\N,NA,NRP,AERONORD,Moldova,N
359,Aeroatlantico Colombia,\N,NA,AOK,NA,Colombia,N
360,Angkor Airlines,\N,NA,AOL,ANGKOR AIR,Cambodia,N
361,Aero Entreprise,\N,NA,AON,AERO ENTERPRISE,France,N
362,As,\N,NA,AOO,Opened Joint Stock Company,COMPANY AS,N
363,Aeropiloto,\N,NA,AOP,AEROPILOTO,Portugal,N
364,Aeroenlaces Nacionales,\N,NA,VIV,AEROENLACES,Mexico,N
365,Aerovis Airlines,\N,NA,VIZ,AEROVIZ,Ukraine,N
366,Avjet International (FZE),\N,NA,VJE,NA,United Arab Emirates,N
367,Aerovista Gulf Express,\N,NA,VGF,VISTA GULF,United Arab Emirates,N
368,Air Vegas,\N,6V,VGA,AIR VEGAS,United States,N
369,Almaver,\N,NA,VER,ALMAVER,Mexico,N
370,Afro International Ent. Limited,\N,NA,AOR,INTER-AFRO,Nigeria,N
371,Alitalia Express,\N,XM,SMX,ALIEXPRESS,Italy,Y
372,Asia Overnight Express,\N,OE,AOT,ASIA OVERNIGHT,Philippines,N
373,Air Tractor,\N,NA,AOU,AIR TRACTOR,Croatia,N
374,Aero Vision,\N,NA,AOV,AEROVISION,France,N
375,Aerotaxi Del Valle,\N,NA,AOX,AEROVALLE,Colombia,N
376,Air Park Aviation Ltd.,\N,NA,APA,CAN-AM,Canada,N
377,Airpac Airlines,\N,NA,APC,Inc.,AIRPAC,N
378,Aeroservicios Monterrey,\N,NA,SVM,SERVIMONTE,Mexico,N
379,Amapola Flyg AB,\N,NA,APF,AMAPOLA,Sweden,N
380,Air People International,\N,NA,APG,AIR PEOPLE,Thailand,N
381,Alpha Aviation,\N,NA,APH,Inc.,AIRFLIGHT,N
382,ASA Pesada,\N,NA,API,Lda.,ASA PESADA,N
383,Air Print,\N,NA,APJ,S.A.,AIR PRINT,N
384,Atlantic Airlines,\N,NA,BJK,BLACKJACK,United States,N
